#UbUs_1-2023-06-21-Wed-21-47-18.hdf5 sztau_sz0
#iter    ineq        tausus          value 
stat-001    1         15.57      0.0338846 
stat-001    1          15.6      0.0338978 
stat-001    1         15.63      0.0339118 
stat-001    1         15.66      0.0339269 
stat-001    1         15.69      0.0339433 
stat-001    1         15.72       0.033962 
stat-001    1         15.75      0.0339813 
stat-001    1         15.78      0.0340002 
stat-001    1         15.81      0.0340203 
stat-001    1         15.84      0.0340395 
stat-001    1         15.87      0.0340594 
stat-001    1          15.9      0.0340802 
stat-001    1         15.93      0.0341001 
stat-001    1         15.96      0.0341169 
stat-001    1         15.99      0.0341352 
stat-001    1         16.02      0.0341544 
stat-001    1         16.05      0.0341741 
stat-001    1         16.08       0.034193 
stat-001    1         16.11      0.0342131 
stat-001    1         16.14      0.0342339 
stat-001    1         16.17      0.0342534 
stat-001    1          16.2      0.0342723 
stat-001    1         16.23      0.0342914 
stat-001    1         16.26      0.0343112 
stat-001    1         16.29      0.0343312 
stat-001    1         16.32      0.0343518 
stat-001    1         16.35      0.0343732 
stat-001    1         16.38      0.0343967 
stat-001    1         16.41      0.0344214 
stat-001    1         16.44       0.034445 
stat-001    1         16.47      0.0344687 
stat-001    1          16.5      0.0344938 
stat-001    1         16.53      0.0345193 
stat-001    1         16.56      0.0345455 
stat-001    1         16.59      0.0345731 
stat-001    1         16.62      0.0346016 
stat-001    1         16.65      0.0346315 
stat-001    1         16.68      0.0346627 
stat-001    1         16.71      0.0346937 
stat-001    1         16.74      0.0347271 
stat-001    1         16.77      0.0347626 
stat-001    1          16.8      0.0348002 
stat-001    1         16.83      0.0348363 
stat-001    1         16.86      0.0348718 
stat-001    1         16.89      0.0349086 
stat-001    1         16.92      0.0349453 
stat-001    1         16.95      0.0349824 
stat-001    1         16.98      0.0350202 
stat-001    1         17.01      0.0350583 
stat-001    1         17.04      0.0350974 
stat-001    1         17.07      0.0351371 
stat-001    1          17.1      0.0351758 
stat-001    1         17.13      0.0352147 
stat-001    1         17.16      0.0352537 
stat-001    1         17.19      0.0352936 
stat-001    1         17.22      0.0353351 
stat-001    1         17.25       0.035378 
stat-001    1         17.28       0.035423 
stat-001    1         17.31      0.0354696 
stat-001    1         17.34      0.0355148 
stat-001    1         17.37      0.0355606 
stat-001    1          17.4      0.0356085 
stat-001    1         17.43      0.0356556 
stat-001    1         17.46      0.0357026 
stat-001    1         17.49      0.0357497 
stat-001    1         17.52      0.0357954 
stat-001    1         17.55      0.0358435 
stat-001    1         17.58       0.035894 
stat-001    1         17.61      0.0359447 
stat-001    1         17.64      0.0359958 
stat-001    1         17.67       0.036047 
stat-001    1          17.7      0.0360975 
stat-001    1         17.73      0.0361478 
stat-001    1         17.76      0.0361992 
stat-001    1         17.79       0.036252 
stat-001    1         17.82      0.0363072 
stat-001    1         17.85      0.0363629 
stat-001    1         17.88      0.0364196 
stat-001    1         17.91      0.0364744 
stat-001    1         17.94      0.0365299 
stat-001    1         17.97      0.0365869 
stat-001    1            18      0.0366458 
stat-001    1         18.03      0.0367033 
stat-001    1         18.06      0.0367621 
stat-001    1         18.09      0.0368233 
stat-001    1         18.12      0.0368854 
stat-001    1         18.15      0.0369494 
stat-001    1         18.18      0.0370138 
stat-001    1         18.21      0.0370791 
stat-001    1         18.24      0.0371453 
stat-001    1         18.27      0.0372118 
stat-001    1          18.3       0.037279 
stat-001    1         18.33      0.0373488 
stat-001    1         18.36       0.037419 
stat-001    1         18.39      0.0374913 
stat-001    1         18.42      0.0375641 
stat-001    1         18.45      0.0376381 
stat-001    1         18.48      0.0377116 
stat-001    1         18.51      0.0377877 
stat-001    1         18.54      0.0378643 
stat-001    1         18.57      0.0379419 
stat-001    1          18.6      0.0380212 
stat-001    1         18.63      0.0381024 
stat-001    1         18.66       0.038183 
stat-001    1         18.69      0.0382644 
stat-001    1         18.72      0.0383466 
stat-001    1         18.75      0.0384292 
stat-001    1         18.78      0.0385116 
stat-001    1         18.81      0.0385938 
stat-001    1         18.84      0.0386779 
stat-001    1         18.87      0.0387628 
stat-001    1          18.9      0.0388484 
stat-001    1         18.93      0.0389356 
stat-001    1         18.96      0.0390214 
stat-001    1         18.99      0.0391068 
stat-001    1         19.02      0.0391925 
stat-001    1         19.05      0.0392779 
stat-001    1         19.08      0.0393626 
stat-001    1         19.11      0.0394487 
stat-001    1         19.14      0.0395348 
stat-001    1         19.17      0.0396217 
stat-001    1          19.2      0.0397099 
stat-001    1         19.23      0.0397996 
stat-001    1         19.26      0.0398894 
stat-001    1         19.29      0.0399796 
stat-001    1         19.32      0.0400715 
stat-001    1         19.35       0.040164 
stat-001    1         19.38      0.0402579 
stat-001    1         19.41      0.0403541 
stat-001    1         19.44       0.040452 
stat-001    1         19.47      0.0405514 
stat-001    1          19.5      0.0406525 
stat-001    1         19.53      0.0407547 
stat-001    1         19.56      0.0408581 
stat-001    1         19.59       0.040962 
stat-001    1         19.62      0.0410676 
stat-001    1         19.65       0.041174 
stat-001    1         19.68      0.0412828 
stat-001    1         19.71      0.0413918 
stat-001    1         19.74      0.0415033 
stat-001    1         19.77      0.0416154 
stat-001    1          19.8      0.0417286 
stat-001    1         19.83      0.0418429 
stat-001    1         19.86      0.0419566 
stat-001    1         19.89      0.0420727 
stat-001    1         19.92      0.0421906 
stat-001    1         19.95      0.0423096 
stat-001    1         19.98      0.0424327 
stat-001    1         20.01      0.0425575 
stat-001    1         20.04      0.0426845 
stat-001    1         20.07      0.0428105 
stat-001    1          20.1      0.0429377 
stat-001    1         20.13      0.0430673 
stat-001    1         20.16      0.0431987 
stat-001    1         20.19       0.043332 
stat-001    1         20.22      0.0434671 
stat-001    1         20.25      0.0436034 
stat-001    1         20.28      0.0437403 
stat-001    1         20.31      0.0438782 
stat-001    1         20.34      0.0440168 
stat-001    1         20.37      0.0441557 
stat-001    1          20.4      0.0442946 
stat-001    1         20.43      0.0444341 
stat-001    1         20.46      0.0445781 
stat-001    1         20.49      0.0447233 
stat-001    1         20.52      0.0448719 
stat-001    1         20.55      0.0450206 
stat-001    1         20.58      0.0451717 
stat-001    1         20.61      0.0453236 
stat-001    1         20.64      0.0454775 
stat-001    1         20.67      0.0456317 
stat-001    1          20.7      0.0457875 
stat-001    1         20.73      0.0459432 
stat-001    1         20.76       0.046101 
stat-001    1         20.79       0.046259 
stat-001    1         20.82      0.0464181 
stat-001    1         20.85      0.0465797 
stat-001    1         20.88      0.0467408 
stat-001    1         20.91      0.0469034 
stat-001    1         20.94       0.047069 
stat-001    1         20.97      0.0472354 
stat-001    1            21      0.0474029 
stat-001    1         21.03       0.047571 
stat-001    1         21.06      0.0477403 
stat-001    1         21.09      0.0479128 
stat-001    1         21.12      0.0480877 
stat-001    1         21.15       0.048264 
stat-001    1         21.18      0.0484442 
stat-001    1         21.21      0.0486277 
stat-001    1         21.24      0.0488127 
stat-001    1         21.27       0.048998 
stat-001    1          21.3      0.0491853 
stat-001    1         21.33      0.0493745 
stat-001    1         21.36      0.0495642 
stat-001    1         21.39      0.0497573 
stat-001    1         21.42      0.0499512 
stat-001    1         21.45      0.0501472 
stat-001    1         21.48      0.0503451 
stat-001    1         21.51      0.0505456 
stat-001    1         21.54      0.0507473 
stat-001    1         21.57      0.0509514 
stat-001    1          21.6      0.0511565 
stat-001    1         21.63      0.0513629 
stat-001    1         21.66      0.0515711 
stat-001    1         21.69       0.051781 
stat-001    1         21.72      0.0519928 
stat-001    1         21.75      0.0522063 
stat-001    1         21.78      0.0524229 
stat-001    1         21.81      0.0526393 
stat-001    1         21.84      0.0528566 
stat-001    1         21.87      0.0530742 
stat-001    1          21.9      0.0532933 
stat-001    1         21.93      0.0535149 
stat-001    1         21.96      0.0537366 
stat-001    1         21.99      0.0539612 
stat-001    1         22.02      0.0541873 
stat-001    1         22.05      0.0544144 
stat-001    1         22.08       0.054643 
stat-001    1         22.11      0.0548747 
stat-001    1         22.14      0.0551082 
stat-001    1         22.17      0.0553456 
stat-001    1          22.2      0.0555859 
stat-001    1         22.23      0.0558279 
stat-001    1         22.26      0.0560732 
stat-001    1         22.29      0.0563203 
stat-001    1         22.32      0.0565684 
stat-001    1         22.35       0.056819 
stat-001    1         22.38       0.057071 
stat-001    1         22.41      0.0573258 
stat-001    1         22.44      0.0575821 
stat-001    1         22.47      0.0578415 
stat-001    1          22.5      0.0581028 
stat-001    1         22.53      0.0583663 
stat-001    1         22.56      0.0586341 
stat-001    1         22.59      0.0589037 
stat-001    1         22.62      0.0591768 
stat-001    1         22.65      0.0594533 
stat-001    1         22.68      0.0597329 
stat-001    1         22.71      0.0600143 
stat-001    1         22.74      0.0602995 
stat-001    1         22.77      0.0605877 
stat-001    1          22.8      0.0608794 
stat-001    1         22.83      0.0611739 
stat-001    1         22.86      0.0614725 
stat-001    1         22.89      0.0617733 
stat-001    1         22.92      0.0620788 
stat-001    1         22.95      0.0623879 
stat-001    1         22.98      0.0626999 
stat-001    1         23.01       0.063016 
stat-001    1         23.04      0.0633356 
stat-001    1         23.07      0.0636599 
stat-001    1          23.1      0.0639877 
stat-001    1         23.13      0.0643196 
stat-001    1         23.16      0.0646529 
stat-001    1         23.19      0.0649903 
stat-001    1         23.22      0.0653314 
stat-001    1         23.25      0.0656762 
